apple,jabłko
ball,piłka
cat,kot
dog,pies
egg,jajko
fish,ryba
girl,dziewczyna
house,dom
ice,lód
juice,sok
kite,latawiec
lemon,cytryna
milk,mleko
nose,nos
orange,pomarańcza
pencil,ołówek
queen,królowa
rain,deszcz
sun,słońce
tree,drzewo
umbrella,parasol
van,samochód dostawczy
water,woda
x-ray,rentgen
yarn,włóczka
zebra,zebra
ant,mrówka
bird,ptak
cow,krowa
duck,kaczka
elephant,słoń
frog,żaba
goat,koza
hat,czapka
island,wyspa
jacket,kurtka
kangaroo,kangur
lion,lew
mouse,mysz
night,noc
owl,sowa
pig,świnia
quilt,kołdra
rabbit,królik
sheep,owca
turtle,żółw
violin,skrzypce
whale,wieloryb
xylophone,ksylofon
yogurt,jogurt
zeppelin,sterowiec

