aberration,aberracja
bewilderment,zakłopotanie
cacophony,kakofonia
debilitate,osłabiać
effervescence,efewescencja
flabbergast,oszałamiać
gregarious,towarzyski
heterogeneous,niejednorodny
impeccable,nienaganny
juxtapose, zestawiać obok siebie
kaleidoscope,kalejdoskop
labyrinth,labirynt
magnanimous,wielkoduszny
nebulous,mglisty
oscillate,wahać się
pernicious,szkodliwy
quintessential,quintesencja
reciprocity,odwzajemnienie
sagacious,roztropny
taciturn,małomówny
ubiquitous,wszechobecny
vacillate,wahać się
wistful,tęskny
xenophobia,ksenofobia
yonder,tamten
zeitgeist,duch czasu
anachronistic,anachroniczny
blasphemous,blaszemiarski
capitulate,kapitulować
dichotomy,dychotomia
enervate,osłabiać
fathom,sonda
garrulous,gadatliwy
harangue,przemowa
idiosyncrasy,indywidualna cecha
jettison,wyrzucić za burtę
kinetic,kinetyczny
lacerate,rozszarpać
malleable,elastyczny
narcissistic,narcystyczny
obfuscate,zaciemniać
palpable,uchwytny
quixotic,donkiszotowski
reverberate,rozbrzmiewać
stymie,hamować
trepidation,lęk
