Ich habe einen _(pies),Hund
Sie isst einen _(jabłko),Apfel
Das _(kot) schläft auf dem Sofa,Katze
Der _(pies) bellt,Hund
Ich trinke _(woda),Wasser
Die _(słońce) scheint,Sonne
Der _(księżyc) ist heute Nacht sehr hell,Mond
Es gibt eine _(kwiat) in meinem Garten,Blume
Ich höre einen _(ptak) singen,Vogel
Die _(ryby) schwimmen im Aquarium,Fische
Der _(góra) ist sehr hoch,Berg
Wir gehen heute zum _(plaża),Strand
Der _(niebo) ist blau,Himmel
Ich liebe es, _(ser) zu essen,Käse
Ich werde _(chleb) kaufen,Brot
Er fährt sein _(samochód) sehr schnell,Auto
Ich möchte ein neues _(rower) kaufen,Fahrrad
Leg das auf den _(stół),Tisch
Wo ist mein _(krzesło)?,Stuhl
Öffne die _(drzwi),Tür
Schließe das _(okno),Fenster
Schalte das _(światło) ein,Licht
Berlin ist eine große _(miasto),Stadt
Die _(kobieta) ist schön,Frau
Der _(mężczyzna) ist stark,Mann
Ein _(dziecko) lacht,Kind
Kinder gehen zur _(szkoła),Schule
Der _(nauczyciel) unterrichtet,Lehrer
Ich bin ein _(student),Student
Das _(szpital) ist in der Nähe,Krankenhaus
Mein _(lekarz) ist sehr nett,Arzt
Der _(policjant) patrouilliert,Polizist
Wir essen in diesem _(restauracja),Restaurant
Ich muss zur _(bank) gehen,Bank
Wo ist der nächste _(sklep)?,Geschäft
Ich lese gerne in der _(biblioteka),Bibliothek
Ich kaufe neue _(but),Schuhe
Sie trägt ein schönes _(sukienka),Kleid
Er trägt einen _(kapelusz),Hut
Ich habe meine _(okulary) verloren,Brille
Mein _(komputer) ist kaputt,Computer
Das ist mein _(telefon),Telefon
Ich höre gerne _(muzyka),Musik
Wir sehen uns heute Abend einen _(film) an,Film
Ich spiele gerne _(grać),spielen
Sie geht _(spać) jetzt,schlafen
Wir werden jetzt _(jeść),essen
Ich möchte etwas _(pić) trinken,trinken
Kannst du das _(widzieć) sehen?,sehen
Kannst du das _(słyszeć) hören?,hören
Er kann gut _(mówić) sprechen,sprechen
Sie geht gerne _(chodzić),gehen
Er kann nicht _(biegać) laufen,laufen
Wir lachen gerne _(śmiać się),lachen
Sie möchte nicht _(płakać) weinen,weinen
Das Gebäude ist sehr _(duży),groß
Diese Katze ist sehr _(mały),klein
Er ist sehr _(szybki),schnell
Das Wetter ist heute _(wolny) langsam,langsam
Es ist heute sehr _(ciepły) heiß,heiß
Es ist heute Morgen sehr _(zimny) kalt,kalt
Dieser Kuchen ist sehr _(dobry),gut
Das ist ein _(zły) schlechter Plan,schlecht
Mein Großvater ist sehr _(stary),alt
Dieser Welpe ist sehr _(młody),jung
Er ist so _(piękny),schön
Diese Zeichnung ist _(brzydki) hässlich,hässlich
Dieser Turm ist sehr _(wysoki),hoch
Die Decke ist sehr _(niski) niedrig,niedrig
Der Bahnhof ist sehr _(daleko) weit von hier,weit
Die Schule ist sehr _(blisko) nah,nah
Guten _(dzień) Tag,Tag
Gute _(noc) Nacht,Nacht
Guten _(ranek) Morgen,Morgen
Guten _(wieczór) Abend,Abend
Ich habe ihn gestern _(wczoraj) gesehen,gestern
Heute _(dziś) bin ich beschäftigt,heute
Ich werde es morgen _(jutro) tun,morgen
Es ist jetzt _(teraz) oder nie,jetzt
Ich war noch nie dort, _(nigdy) nie,nie
Sie kommt manchmal _(czasami) hierher,manchmal
Ich gehe oft zum Strand, _(często) oft,oft
Ich liebe dich _(zawsze) immer,immer
