Abenteuer,przygoda
Bewegung,ruch
Charakter,charakter
Durchsetzungskraft,asertywność
Erfahrung,doświadczenie
Freiheit,wolność
Geduld,cierpliwość
Herausforderung,wyzwanie
Intelligenz,inteligencja
Jubiläum,rocznica
Kreativität,kreatywność
Leidenschaft,pasjonat
Motivation,motywacja
Neugier,ciekawość
Optimismus,optymizm
Perspektive,perspektywa
Qualität,jakość
Respekt,szacunek
Stabilität,stabilność
Toleranz,tolerancja
Unabhängigkeit,niezależność
Vision,wizja
Weisheit,mądrość
Zufriedenheit,zadowolenie
Analyse,analiza
Balance,równowaga
Charisma, charyzma
Dynamik,dynamika
Effizienz,wydajność
Flexibilität,elastyczność
Genauigkeit,dokładność
Harmonie,harmonia
Inspiration,inspiracja
Justiz,sprawiedliwość
Klarheit,jasność
Loyalität,lojalność
Möglichkeit,możliwość
Nachhaltigkeit,zrównoważony rozwój
Originalität,oryginalność
Präzision,precyzja
Qualifikation,kwalifikacja
Rationalität,racjonalność
Solidarität,solidarność
Tradition,tradycja
Unabhängigkeit,niezależność
Verantwortung,odpowiedzialność
Wohlstand,dobrobyt
Zusammenarbeit,współpraca
Aktivität,aktywność
Bereicherung,wzbogacenie
Charme,urok
Dialog,dialog
Ehrlichkeit,szczerość
Fortschritt,postęp
Gerechtigkeit,sprawiedliwość
Humor,humor
Ironie,ironia
Jugend,młodość
Kompetenz,kompetencja
Lebensfreude,radość życia
Macht,władza
Nachdenklichkeit,refleksyjność
Offenheit,otwartość
Präsenz,obecność
Qualität,jakość
Ruhe,spokój
Sympathie,sympatia
Tiefe,głębia
Umgebung,otoczenie
Vielfalt,różnorodność
Wahrheit,prawda
Ziel,cel
Ambition,ambicja
Begeisterung,entuzjazm
Courage,odwaga
Disziplin,dyscyplina
Energie,energia
Freude,radość
Gleichgewicht,równowaga
Hoffnung,nadzieja
Intuition,intuicja
Kraft,siła
Leichtigkeit,lekkość
Mut,odwaga
Neuerung,nowość
Ordnung,porządek
Pionier,pionier
Quelle,źródło
Romantik,romantyzm
Sicherheit,bezpieczeństwo
Treue,wierność
Unterhaltung,rozrywka
Vertrauen,zaufanie
Wunder,cud
Zukunft,przyszłość
