Er hat ein großes _(dom),Haus
Sie trinkt gerne frischen _(sok),Saft
Das _(kot) jagt die Maus,Katze
Unser _(pies) spielt im Garten,Hund
Ich esse zum Frühstück ein _(jajko),Ei
Im Aquarium schwimmt ein bunter _(ryba),Fisch
Sie ist ein kluges _(dziewczyna),Mädchen
Wir leben in einem gemütlichen _(dom),Haus
Auf dem See gibt es viel _(lód),Eis
Zum Frühstück trinke ich _(sok),Saft
Kinder lieben es, mit einem _(latawiec) zu spielen,Drachen
Eine frische _(cytryna) ist sehr sauer,Zitrone
Ich trinke jeden Morgen _(mleko),Milch
Er hat eine große _(nos),Nase
_(Pomarañcza) sind mein Lieblingsobst,Orangen
Ich schreibe mit einem _(o³ówek),Bleistift
Die _(królowa) regiert das Land,Königin
Der _(deszcz) macht alles nass,Regen
Die _(s³oñce) scheint hell,Sonne
Ein hoher _(drzewo) steht im Wald,Baum
Ich nehme meinen _(parasol) bei Regen mit,Regenschirm
Unser _(samochód dostawczy) ist sehr praktisch,Lieferwagen
Ich trinke jeden Tag viel _(woda),Wasser
Ein _(rentgen) wird im Krankenhaus gemacht,Röntgen
_(W³óczka) wird zum Stricken verwendet,Garn
Eine _(zebra) hat viele Streifen,Zebra
Die _(mrówka) ist ein fleißiges Insekt,Ameise
Der _(ptak) singt jeden Morgen,Vogel
Die _(krowa) gibt uns Milch,Kuh
Die _(kaczka) schwimmt im Teich,Ente
Der _(s³oñ) ist ein großes Tier,Elefant
Die _(¿aba) springt am Teich,Frosch
Die _(koza) klettert auf den Berg,Ziege
Ein _(czapka) schützt vor der Sonne,Hut
Die _(wyspa) liegt im Ozean,Insel
Meine _(kurtka) hält mich im Winter warm,Jacke
Das _(kangur) lebt in Australien,Känguru
Der _(lew) ist der König der Tiere,Löwe
Die _(mysz) sucht nach Käse,Maus
In der _(noc) ist es dunkel,Nacht
Die _(sowa) ist ein nachtaktiver Vogel,Eule
Das _(œwinia) wühlt im Schlamm,Schwein
Eine warme _(ko³dra) ist im Winter wichtig,Decke
Das _(królik) hat lange Ohren,Kaninchen
Das _(owca) liefert uns Wolle,Schaf
Die _(¿ó³w) ist ein langsames Tier,Schildkröte
_(Skrzypce) sind ein schönes Instrument,Geige
Der _(wieloryb) lebt im Ozean,Wal
Ein _(ksylofon) macht interessante Töne,Xylophon
_(Jogurt) ist gut für das Frühstück,Joghurt
Der _(sterowiec) fliegt am Himmel,Zeppelin
